night_travel,road_type,unsafe_zone,battery,shake,voice_trigger,sudden_stop,manual_sos,lat,lon,rule_score,ml_score,final_score,risk_level,ward,timestamp
False,main,False,100,False,False,False,False,12.929698,77.6227132,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:26.258483
True,Unknown,False,100,False,False,False,False,12.929698,77.6227132,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:26.266944
False,main,False,100,False,False,False,False,12.9296966,77.6227112,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:31.221930
True,Unknown,False,100,False,False,False,False,12.9296966,77.6227112,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:31.224830
False,main,False,100,False,False,False,False,12.9296997,77.6227595,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:33.619935
False,main,False,100,False,False,False,False,12.929698,77.6227132,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:34.218012
False,main,False,100,False,False,False,False,12.9296966,77.6227112,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:34.553276
False,main,False,100,False,False,False,False,12.9296963,77.6227107,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:36.251356
True,Unknown,False,100,False,False,False,False,12.9296963,77.6227107,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:36.259096
True,Unknown,False,100,False,False,False,False,12.9296983,77.6227093,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:38.609405
False,main,False,100,False,False,False,False,12.9296983,77.6227093,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:38.609246
True,Unknown,False,100,False,False,False,False,12.9297006,77.6227049,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:41.271886
False,main,False,100,False,False,False,False,12.9297006,77.6227049,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:41.284480
True,Unknown,False,100,False,False,False,False,12.9297027,77.6227016,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:43.576622
False,main,False,100,False,False,False,False,12.9297027,77.6227016,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:43.590066
False,main,False,100,False,False,False,False,12.9297037,77.6227009,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:46.214121
True,Unknown,False,100,False,False,False,False,12.9297037,77.6227009,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:46.216337
False,main,False,100,False,False,False,False,12.9296963,77.6227107,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:48.747924
False,main,False,100,False,False,False,False,12.9296983,77.6227093,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:49.449454
False,main,False,100,False,False,False,False,12.929704,77.6227031,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:49.657597
True,Unknown,False,100,False,False,False,False,12.929704,77.6227031,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:49.662378
False,main,False,100,False,False,False,False,12.9297006,77.6227049,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:49.731296
False,main,False,100,False,False,False,False,12.9297027,77.6227016,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:50.122356
False,main,False,100,False,False,False,False,12.9297037,77.6227009,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:50.550334
False,main,False,100,False,False,False,False,12.929702,77.6227138,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:28:54.686266
True,Unknown,False,100,False,False,False,False,12.929702,77.6227138,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:28:54.688275
True,Unknown,False,100,False,False,False,False,12.9297002,77.6227193,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:29:00.726167
False,main,False,100,False,False,False,False,12.9297002,77.6227193,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:00.918263
False,main,False,100,False,False,False,False,12.929704,77.6227031,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:03.649734
False,main,False,100,False,False,False,False,12.929702,77.6227138,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:04.022018
False,main,False,100,False,False,False,False,12.9297002,77.6227193,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:04.360716
False,main,False,100,False,False,False,False,12.9297032,77.6227245,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:05.780839
True,Unknown,False,100,False,False,False,False,12.9297032,77.6227245,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:29:05.782833
True,Unknown,False,100,False,False,False,False,12.9296967,77.6231643,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:29:11.379626
False,main,False,100,False,False,False,False,12.9296967,77.6231643,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:11.380584
False,main,False,100,False,False,False,False,12.9296932,77.6232,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:16.206259
True,Unknown,False,100,False,False,False,False,12.9296932,77.6232,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:29:16.214877
False,main,False,100,False,False,False,False,12.9297032,77.6227245,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:18.669341
False,main,False,100,False,False,False,False,12.9296967,77.6231643,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:19.207626
False,main,False,100,False,False,False,False,12.9296932,77.6232,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:19.638748
False,main,False,100,False,False,False,False,12.9296928,77.6232371,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:21.230357
True,Unknown,False,100,False,False,False,False,12.9296928,77.6232371,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:29:21.233229
True,Unknown,False,100,False,False,False,False,12.9296726,77.6232822,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:29:26.238851
False,main,False,100,False,False,False,False,12.9296726,77.6232822,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:26.311539
True,Unknown,False,100,False,False,False,False,12.9296658,77.6232932,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:29:31.215496
False,main,False,100,False,False,False,False,12.9296658,77.6232932,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:31.216965
False,main,False,100,False,False,False,False,12.9296928,77.6232371,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:33.820389
False,main,False,100,False,False,False,False,12.929657,77.6233492,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:34.043489
True,Unknown,False,100,False,False,False,False,12.929657,77.6233492,20,17.24,18.9,Safe,Koramangala,2026-05-02T06:29:34.070228
False,main,False,100,False,False,False,False,12.9296726,77.6232822,0,17.24,6.9,Safe,Koramangala,2026-05-02T06:29:34.225850
